peripheral,register,field_name,key,correct_value
,,,,
adc1,cr1,,address_offset,0x4
adc1,cr2,dma,bit_width,1
adc1,sr,,size,32
dac,cr,mamp1,bit_offset,8
dac,cr,mamp2,bit_offset,24
dac,cr,tsel1,bit_width,3
dac,cr,tsel2,bit_width,3
dac,cr,wave1,bit_offset,6
dac,cr,wave2,bit_offset,22
dac,swtrigr,,address_offset,0x4
flash,cr,snb,bit_width,4
flash,optcr,,reset_value,0xFFFAAED
fsmc,bcr1,,reset_value,0x30DB
fsmc,bcr3,,reset_value,0x30D2
fsmc,bcr4,faccen,bit_offset,6
fsmc,bcr4,mtyp,bit_offset,2
fsmc,bcr4,mwid,bit_offset,4
fsmc,btr1,,reset_value,0xFFFFFFF
fsmc,bwtr3,,address_offset,0x114
fsmc,bwtr4,,address_offset,0x11C
fsmc,pcr4,eccen,bit_offset,6
fsmc,pcr4,eccen,bit_width,1
fsmc,pcr4,tar,bit_width,3
fsmc,pmem3,,reset_value,0xFCFCFCFC
fsmc,sr2,,address_offset,0x64
fsmc,sr3,ifen,bit_offset,5
fsmc,sr3,ifs,bit_offset,2
fsmc,sr3,ilen,bit_offset,4
fsmc,sr3,ils,bit_offset,1
fsmc,sr3,iren,bit_offset,3
fsmc,sr3,irs,bit_offset,0
gpioa,pupdr,,reset_value,0x64000000
gpiob,pupdr,,reset_value,0x100
hash,csr0,,reset_value,0x2
hash,csr1,,address_offset,0xFC
hash,csr11,,address_offset,0x124
hash,csr12,,address_offset,0x128
hash,csr14,,address_offset,0x130
hash,csr15,,address_offset,0x134
hash,csr17,,address_offset,0x13C
hash,csr18,,address_offset,0x140
hash,csr19,,address_offset,0x144
hash,csr20,,address_offset,0x148
hash,csr21,,address_offset,0x14C
hash,csr23,,address_offset,0x154
hash,csr24,,address_offset,0x158
hash,csr25,,address_offset,0x15C
hash,csr26,,address_offset,0x160
hash,csr27,,address_offset,0x164
hash,csr28,,address_offset,0x168
hash,csr29,,address_offset,0x16C
hash,csr31,,address_offset,0x174
hash,csr32,,address_offset,0x178
hash,csr33,,address_offset,0x17C
hash,csr34,,address_offset,0x180
hash,csr35,,address_offset,0x184
hash,csr36,,address_offset,0x188
hash,csr39,,address_offset,0x194
hash,csr4,,address_offset,0x108
hash,csr40,,address_offset,0x198
hash,csr41,,address_offset,0x19C
hash,csr43,,address_offset,0x1A4
hash,csr44,,address_offset,0x1A8
hash,csr45,,address_offset,0x1AC
hash,csr46,,address_offset,0x1B0
hash,csr47,,address_offset,0x1B4
hash,csr48,,address_offset,0x1B8
hash,csr49,,address_offset,0x1BC
hash,csr5,,address_offset,0x10C
hash,csr51,,address_offset,0x1C4
hash,csr52,,address_offset,0x1C8
hash,csr6,,address_offset,0x110
hash,csr7,,address_offset,0x114
hash,csr8,,address_offset,0x118
hash,csr9,,address_offset,0x11C
pwr,cr,,reset_value,0x4000
rtc,alrmbssr,,address_offset,0x48
sdio,resp4,,address_offset,0x20
syscfg,memrm,,reset_value,0x0000 000X
tim1,dmar,dmab,bit_width,32
tim10,arr,,reset_value,0xFFFF
tim10,cnt,cnt,bit_width,16
tim11,arr,,reset_value,0xFFFF
tim2,arr,,reset_value,0xFFFFFFFF
tim2,dmar,dmab,bit_width,16
tim2,or,itr1_rmp,bit_offset,10
tim2,smcr,sms,bit_width,3
tim3,arr,,reset_value,0xFFFFFFFF
tim3,dmar,dmab,bit_width,16
tim5,arr,,reset_value,0xFFFFFFFF
tim5,dmar,dmab,bit_width,16
tim6,arr,,reset_value,0xFFFF
tim6,arr,arr,bit_width,16
tim9,arr,,reset_value,0xFFFF
