SVD File,Crate,RM,Bug Description,PR,Status
"stm32h745cm4, stm32h745cm7, stm32h747cm4, stm32h747cm7, stm32h755cm4, stm32h755cm7, stm32h757cm4, stm32h757cm7",stm32-rs,rm0399,"ADC1\2\3_LTR1: reset value: svd = 0xFFF0000, agent = 0x0",,
"stm32h745cm4, stm32h745cm7, stm32h747cm4, stm32h747cm7, stm32h755cm4, stm32h755cm7, stm32h757cm4, stm32h757cm7",stm32-rs,rm0399,"ADC1\2\3_HTR1: reset value: svd = 0xFFF0000, agent = 0x0, RM = 0x03FFFFFF",,
"stm32h745cm4, stm32h745cm7, stm32h747cm4, stm32h747cm7, stm32h755cm4, stm32h755cm7, stm32h757cm4, stm32h757cm7",stm32-rs,rm0399,"ADC1\2\3_HTR2: reset value: svd = 0x0, agent = 0xFFF, RM = 0x03FFFFFF",,
"stm32h745cm4, stm32h745cm7, stm32h747cm4, stm32h747cm7, stm32h755cm4, stm32h755cm7, stm32h757cm4, stm32h757cm7",stm32-rs,rm0399,"ADC1\2\3_HTR3: reset value: svd = 0x0, agent = 0xFFF, RM = 0x03FFFFFF",,
"stm32h745cm4, stm32h745cm7, stm32h747cm4, stm32h747cm7, stm32h755cm4, stm32h755cm7, stm32h757cm4, stm32h757cm7",stm32-rs,rm0399,"AXI_COMP_ID_0: reset value: svd = 0x4, RM = 0xD",,
"stm32h745cm4, stm32h745cm7, stm32h747cm4, stm32h747cm7, stm32h755cm4, stm32h755cm7, stm32h757cm4, stm32h757cm7",stm32-rs,rm0399,"AXI_COMP_ID_1: reset value: svd = 0x4, RM = 0xF0",,
"stm32h745cm4, stm32h745cm7, stm32h747cm4, stm32h747cm7, stm32h755cm4, stm32h755cm7, stm32h757cm4, stm32h757cm7",stm32-rs,rm0399,"AXI_COMP_ID_2: reset value: svd = 0x4, agent = 0x5",,
"stm32h745cm4, stm32h745cm7, stm32h747cm4, stm32h747cm7, stm32h755cm4, stm32h755cm7, stm32h757cm4, stm32h757cm7",stm32-rs,rm0399,"AXI_COMP_ID_3: reset value: svd = 0x4, agent = 0xB1",,
"stm32h745cm4, stm32h745cm7, stm32h747cm4, stm32h747cm7, stm32h755cm4, stm32h755cm7, stm32h757cm4, stm32h757cm7",stm32-rs,rm0399,"FDCAN1\2_CREL: reset value: svd = 0x0, agent = 0x32141218",,
"stm32h745cm4, stm32h745cm7, stm32h747cm4, stm32h747cm7, stm32h755cm4, stm32h755cm7, stm32h757cm4, stm32h757cm7",stm32-rs,rm0399,"FDCAN1\2_DBTP: reset value: svd = 0x0, agent = 0xA33",,
"stm32h745cm4, stm32h745cm7, stm32h747cm4, stm32h747cm7, stm32h755cm4, stm32h755cm7, stm32h757cm4, stm32h757cm7",stm32-rs,rm0399,"FDCAN1\2_ENDN: reset value: svd = 0x0, agent = 0x87654321",,
