SVD File,Crate,RM,Bug Description,PR,Status
"stm32l4p5, stm32l4q5, stm32l4r5, stm32l4r7, stm32l4r9, stm32l4s5, stm32l4s7, stm32l4s9",stm32-rs,rm0432,"CAN1_BTR: reset value: svd = 0x0, agent = 0x1230000",,
"stm32l4p5, stm32l4q5",stm32-rs,rm0432,"CRS_CR_TRIM: bit width: svd = 6, agent = 7",,
"stm32l4p5, stm32l4q5, stm32l4r5, stm32l4r7, stm32l4r9, stm32l4s5, stm32l4s7, stm32l4s9",stm32-rs,rm0432,"DBGMCU_IDCODE_DEV_ID: bit width: svd = 16, agent = 12",,
"stm32l4p5, stm32l4q5, stm32l4r5, stm32l4r7, stm32l4r9, stm32l4s5, stm32l4s7, stm32l4s9",stm32-rs,rm0432,"GPIOA_OSPEEDR: reset value: svd = 0x0, agent = 0xC000000",,
"stm32l4p5, stm32l4q5, stm32l4r5, stm32l4r7, stm32l4r9, stm32l4s5, stm32l4s7, stm32l4s9",stm32-rs,rm0432,"GPIOB_OSPEEDR: reset value: svd = 0xC0, agent = 0x0",,
"stm32l4p5, stm32l4q5, stm32l4r5, stm32l4r7, stm32l4r9, stm32l4s5, stm32l4s7, stm32l4s9",stm32-rs,rm0432,"GPIOA_MODER: reset value: svd = 0xA8000000, agent = 0xABFFFFFF",,
"stm32l4p5, stm32l4q5, stm32l4r5, stm32l4r7, stm32l4r9, stm32l4s5, stm32l4s7, stm32l4s9",stm32-rs,rm0432,"GPIOB_MODER: reset value: svd = 0x280, agent = 0xFFFFFEBF",,
"stm32l4p5, stm32l4q5, stm32l4r5, stm32l4r7, stm32l4r9, stm32l4s5, stm32l4s7, stm32l4s9",stm32-rs,rm0432,"GPIOC\D\E\F\G\I_MODER: reset value: svd = 0x0, agent = 0xFFFFFFFF",,
"stm32l4p5, stm32l4q5, stm32l4r5, stm32l4r7, stm32l4r9, stm32l4s5, stm32l4s7, stm32l4s9",stm32-rs,rm0432,"GPIOH_MODER: reset value: svd = 0x0, agent = 0x0000000F",,
"stm32l4p5, stm32l4r5, stm32l4r9",stm32-rs,rm0432,"RTC_TSDR: reset value: svd = 0x2101, agent = 0x0",,
"stm32l4r7, stm32l4s5, stm32l4s7, stm32l4s9",stm32-rs,rm0432,"SDMMC1_DCTRL_DTMODE: bit width: svd = 1, agent = 2",,
"stm32l4q5, stm32l4r7, stm32l4s5, stm32l4s7, stm32l4s9",stm32-rs,rm0432,"SYSCFG_EXTICR1_EXTI0\1\2\3: bit width: svd = 3, agent = 4",,
"stm32l4q5, stm32l4r7, stm32l4s5, stm32l4s7, stm32l4s9",stm32-rs,rm0432,"SYSCFG_EXTICR2_EXTI4\5\6\7: bit width: svd = 3, agent = 4",,
"stm32l4q5, stm32l4r7, stm32l4s5, stm32l4s7, stm32l4s9",stm32-rs,rm0432,"SYSCFG_EXTICR3_EXTI8\9\10\11: bit width: svd = 3, agent = 4",,
"stm32l4q5, stm32l4r7, stm32l4s5, stm32l4s7, stm32l4s9",stm32-rs,rm0432,"SYSCFG_EXTICR4_EXTI12\13\14\15: bit width: svd = 3, agent = 4",,
