SVD File,Crate,RM,Bug Description,PR,Status
"stm32h742, stm32h743, stm32h743v, stm32h753, stm32h753v",stm32-rs,rm0433,"ADC1\2\3_HTR1: reset value: svd = 0xFFF0000, RM = 0x3FFFFFF",,
"stm32h742, stm32h743, stm32h743v, stm32h753, stm32h753v",stm32-rs,rm0433,"ADC1\2\3_HTR2\3: reset value: svd = 0x0, agent = 0xFFF0000, RM = 0x3FFFFFF",,
"stm32h742, stm32h743, stm32h743v, stm32h753, stm32h753v",stm32-rs,rm0433,"AXI_COMP_ID_0: reset value: svd = 0x4, agent = 0xD",,
"stm32h742, stm32h743, stm32h743v, stm32h753, stm32h753v",stm32-rs,rm0433,"AXI_COMP_ID_1: reset value: svd = 0x4, agent = 0xF0",,
"stm32h742, stm32h743, stm32h743v, stm32h753, stm32h753v",stm32-rs,rm0433,"AXI_COMP_ID_2: reset value: svd = 0x4, agent = 0x5",,
"stm32h742, stm32h743, stm32h743v, stm32h753, stm32h753v",stm32-rs,rm0433,"AXI_COMP_ID_3: reset value: svd = 0x4, agent = 0xB1",,
stm32h742,stm32-rs,rm0433,"FDCAN1\2_CREL: reset value: svd = 0x0, agent = 0x32141218",,
stm32h742,stm32-rs,rm0433,"FDCAN1\2_DBTP: reset value: svd = 0x0, agent = 0xA33",,
stm32h742,stm32-rs,rm0433,"FDCAN1\2_ENDN: reset value: svd = 0x0, agent = 0x87654321",,
stm32h742,stm32-rs,rm0433,"FDCAN1\2_NBTP: reset value: svd = 0x0, agent = 0x6000A03",,
stm32h742,stm32-rs,rm0433,"FDCAN1\2_PSR: reset value: svd = 0x0, agent = 0x707",,
stm32h742,stm32-rs,rm0433,"FDCAN1\2_TTCTC: reset value: svd = 0x0, agent = 0x3F0000",,
stm32h742,stm32-rs,rm0433,"FDCAN1\2_CCCR: reset value: svd = 0x0, agent = 0x1",,
stm32h742,stm32-rs,rm0433,"FDCAN1\2_TOCC: reset value: svd = 0x0, agent = 0xFFFF0000",,
stm32h742,stm32-rs,rm0433,"FDCAN1\2_TOCV: reset value: svd = 0x0, agent = 0xFFFF",,
