SVD File,Crate,RM,Bug Description,PR,Status
"stm32f405, stm32f407, stm32f417, stm32f427, stm32f429, stm32f437, stm32f439",stm32-rs,rm0090,"CAN1/2_BTR: reset value: svd = 0x0, agent = 0x1230000",,
"stm32f437, stm32f439",stm32-rs,rm0090,"FMC_BWTR3: address offset: svd = 0x104, agent = 0x114",,
"stm32f437, stm32f439",stm32-rs,rm0090,"FMC_BWTR4: address offset: svd = 0x104, RM = 0x11C",,
"stm32f417",stm32-rs,rm0090,"FSMC_BWTR3: address offset: svd = 0x104, agent = 0x114",,
"stm32f417",stm32-rs,rm0090,"FSMC_BWTR4: address offset: svd = 0x10C, agent = 0x11C",,
"stm32f405, stm32f407, stm32f417, stm32f427, stm32f429, stm32f437, stm32f439",stm32-rs,rm0090,"GPIOA_OSPEEDR: reset value: svd = 0x0, agent = 0xC000000",,
"stm32f405, stm32f407, stm32f417, stm32f427, stm32f429, stm32f437, stm32f439",stm32-rs,rm0090,"HASH_CSR0: reset value: svd = 0x0, agent = 0x2",,
"stm32f437, stm32f439",stm32-rs,rm0090,"HASH_CSR2: reset value: svd = 0x0, agent = 0x20000000",,
"stm32f427, stm32f429, stm32f437, stm32f439",stm32-rs,rm0090,"RCC_AHB1LPENR: reset value: svd = 0x7E6791FF, agent = 0x7EEF97FF",,
"stm32f427, stm32f429, stm32f437, stm32f439",stm32-rs,rm0090,"RCC_APB1LPENR: reset value: svd = 0x36FEC9FF, agent = 0xF6FEC9FF",,
"stm32f427, stm32f429, stm32f437, stm32f439",stm32-rs,rm0090,"RCC_PLLI2SCFGR: reset value: svd = 0x20003000, agent = 0x24003000",,
stm32f417,stm32-rs,rm0090,"SYSCFG_MEMRM_MEM_MODE: bit width: svd = 3, agent = 2",,
stm32f437,stm32-rs,rm0090,"SYSCFG_MEMRM_MEM_MODE: bit width: svd = 2, RM = 3",,
"stm32f417, stm32f437, stm32f439",stm32-rs,rm0090,"TIM1\8_ARR: reset value: svd = 0x0, agent = 0xFFFF",,
"stm32f417, stm32f437, stm32f439",stm32-rs,rm0090,"TIM2\5_ARR: reset value: svd = 0x0, agent = 0xFFFFFFFF",,
"stm32f417, stm32f437, stm32f439",stm32-rs,rm0090,"TIM3\4_ARR: reset value: svd = 0x0, agent = 0xFFFF",,
"stm32f417, stm32f437, stm32f439",stm32-rs,rm0090,"TIM9\10\11\12\13\14_ARR: reset value: svd = 0x0, agent = 0xFFFF",,
