iteration,retrieval_method,peripheral_coverage,register_coverage,field_coverage,total_invariants,validator_true_percent,validator_false_percent
1,keyword_search,35.85,61.80,65.08,1994,81.19,18.81
2,semantic_search,54.72,88.36,82.09,5487,91.07,8.93
3,semantic_search,54.72,86.27,80.25,5414,91.12,8.88
4,keyword_search,37.74,70.95,72.78,2666,85.52,14.48


iteration 2:
    "number_embeddings": 50,
    "re_ranking": true,
    "score_threshold": 0.1,
    "query_rewrite": true,

iteration 3:
    "number_embeddings": 50,
    "re_ranking": false,
    "score_threshold": 0.05,
    "query_rewrite": true,
