SVD File,Crate,RM,Bug Description,PR,Status
"stm32wb35_cm4, stm32wb55, stm32wb55_cm0p",stm32-rs,rm0434,"DBGMCU_C2APB2FZR: address offset: svd = 0x48, agent = 0x50",,
"stm32wb35_cm4, stm32wb55, stm32wb55_cm0p",stm32-rs,rm0434,"DBGMCU_IDCODE: reset value: svd = 0x0, agent = 0x200X6495",,
stm32wb35_cm4,stm32-rs,rm0434,"DMAMUX_C0CR_DMAREQ_ID: bit width: svd = 8, agent = 6",,
stm32wb35_cm4,stm32-rs,rm0434,"DMAMUX_C1CR_DMAREQ_ID: bit width: svd = 8, agent = 6",,
stm32wb35_cm4,stm32-rs,rm0434,"DMAMUX_C2CR_DMAREQ_ID: bit width: svd = 8, agent = 6",,
stm32wb35_cm4,stm32-rs,rm0434,"DMAMUX_C3CR_DMAREQ_ID: bit width: svd = 8, agent = 6",,
stm32wb35_cm4,stm32-rs,rm0434,"DMAMUX_C4CR_DMAREQ_ID: bit width: svd = 8, agent = 6",,
stm32wb35_cm4,stm32-rs,rm0434,"DMAMUX_C5CR_DMAREQ_ID: bit width: svd = 8, agent = 6",,
stm32wb35_cm4,stm32-rs,rm0434,"DMAMUX_C6CR_DMAREQ_ID: bit width: svd = 8, agent = 6",,
stm32wb35_cm4,stm32-rs,rm0434,"DMAMUX_C7CR_DMAREQ_ID: bit width: svd = 8, agent = 6",,
stm32wb35_cm4,stm32-rs,rm0434,"DMAMUX_C9CR_DMAREQ_ID: bit width: svd = 8, agent = 6",,
stm32wb35_cm4,stm32-rs,rm0434,"DMAMUX_C10CR_DMAREQ_ID: bit width: svd = 8, agent = 6",,
stm32wb35_cm4,stm32-rs,rm0434,"DMAMUX_C11CR_DMAREQ_ID: bit width: svd = 8, agent = 6",,
stm32wb35_cm4,stm32-rs,rm0434,"DMAMUX_C13CR_DMAREQ_ID: bit width: svd = 8, agent = 6",,
stm32wb55_cm0p,stm32-rs,rm0434,"DMAMUX1_C0CR_DMAREQ_ID: bit width: svd = 8, agent = 6",,
stm32wb55_cm0p,stm32-rs,rm0434,"DMAMUX1_C1CR_DMAREQ_ID: bit width: svd = 8, agent = 6",,
stm32wb55_cm0p,stm32-rs,rm0434,"DMAMUX1_C2CR_DMAREQ_ID: bit width: svd = 8, agent = 6",,
stm32wb55_cm0p,stm32-rs,rm0434,"DMAMUX1_C3CR_DMAREQ_ID: bit width: svd = 8, agent = 6",,
stm32wb55_cm0p,stm32-rs,rm0434,"DMAMUX1_C4CR_DMAREQ_ID: bit width: svd = 8, agent = 6",,
stm32wb55_cm0p,stm32-rs,rm0434,"DMAMUX1_C5CR_DMAREQ_ID: bit width: svd = 8, agent = 6",,
stm32wb55_cm0p,stm32-rs,rm0434,"DMAMUX1_C6CR_DMAREQ_ID: bit width: svd = 8, agent = 6",,
stm32wb55_cm0p,stm32-rs,rm0434,"DMAMUX1_C7CR_DMAREQ_ID: bit width: svd = 8, agent = 6",,
stm32wb55_cm0p,stm32-rs,rm0434,"DMAMUX1_C9CR_DMAREQ_ID: bit width: svd = 8, agent = 6",,
stm32wb55_cm0p,stm32-rs,rm0434,"DMAMUX1_C10CR_DMAREQ_ID: bit width: svd = 8, agent = 6",,
stm32wb55_cm0p,stm32-rs,rm0434,"DMAMUX1_C11CR_DMAREQ_ID: bit width: svd = 8, agent = 6",,
stm32wb55_cm0p,stm32-rs,rm0434,"DMAMUX1_C12CR_DMAREQ_ID: bit width: svd = 8, agent = 6",,
stm32wb55_cm0p,stm32-rs,rm0434,"DMAMUX1_C13CR_DMAREQ_ID: bit width: svd = 8, agent = 6",,
"stm32wb35_cm4, stm32wb55, stm32wb55_cm0p",stm32-rs,rm0434,"FLASH_WRP1BR_WRP1B_END: bit offset: svd = 0, agent = 16",,
"stm32wb35_cm4, stm32wb55, stm32wb55_cm0p",stm32-rs,rm0434,"FLASH_WRP1BR_WRP1B_STRT: bit offset: svd = 16, agent = 0",,
"stm32wb35_cm4, stm32wb55, stm32wb55_cm0p",stm32-rs,rm0434,"GPIOC_OSPEEDR: reset value: svd = 0xC0, agent = 0x0",,
"stm32wb55, stm32wb55_cm0p",stm32-rs,rm0434,"GPIOD_OSPEEDR: reset value: svd = 0xC0, agent = 0x0",,
"stm32wb35_cm4, stm32wb55, stm32wb55_cm0p",stm32-rs,rm0434,"GPIOE_OSPEEDR: reset value: svd = 0xC0, agent = 0x0",,
"stm32wb35_cm4, stm32wb55, stm32wb55_cm0p",stm32-rs,rm0434,"LPUART1_BRR_BRR: bit width: svd = 16, agent = 20",,
"stm32wb35_cm4, stm32wb55, stm32wb55_cm0p",stm32-rs,rm0434,"RCC_AHB1ENR: reset value: svd = 0x100, agent = 0x0",,
stm32wb55,stm32-rs,rm0434,"RTC_TSDR: reset value: svd = 0x2101, agent = 0x0",,
stm32wb35_cm4,stm32-rs,rm0434,"TIM17_AF1: address offset: svd = 0x44, agent = 0x60",,
stm32wb35_cm4,stm32-rs,rm0434,"TIM17_AF1: reset value: svd = 0x0, agent = 0x1",,
stm32wb35_cm4,stm32-rs,rm0434,"TIM17_CCER: address offset: svd = 0x1C, agent = 0x20",,
stm32wb35_cm4,stm32-rs,rm0434,"TIM17_CCMR1_OUTPUT: address offset: svd = 0x14, agent = 0x18",,
stm32wb35_cm4,stm32-rs,rm0434,"TIM17_DCR: address offset: svd = 0x38, agent = 0x48",,
stm32wb35_cm4,stm32-rs,rm0434,"TIM17_DIER: address offset: svd = 0x8, agent = 0xC",,
stm32wb35_cm4,stm32-rs,rm0434,"TIM17_DMAR: address offset: svd = 0x3C, agent = 0x4C",,
stm32wb35_cm4,stm32-rs,rm0434,"TIM17_EGR: address offset: svd = 0x10, agent = 0x14",,
stm32wb35_cm4,stm32-rs,rm0434,"TIM17_SR: address offset: svd = 0xC, agent = 0x10",,
