SVD File,Crate,RM,Bug Description,PR,Status
"stm32h723, stm32h725, stm32h730, stm32h733, stm32h735, stm32h73x",stm32-rs,rm0468,"AXI_COMP_ID_2: reset value: svd = 0x4, agent = 0x5",,
"stm32h725, stm32h730, stm32h733, stm32h735, stm32h73x",stm32-rs,rm0468,"AXI_COMP_ID_3: reset value: svd = 0x4, agent = 0xB1",,
"stm32h723, stm32h725, stm32h733, stm32h73x",stm32-rs,rm0468,"CRC_INIT: reset value: svd = 0x0, agent = 0xFFFFFFFF",,
"stm32h723, stm32h725, stm32h733",stm32-rs,rm0468,"FDCAN1_CCCR: reset value: svd = 0x0, agent = 0x1",,
"stm32h723, stm32h725, stm32h733",stm32-rs,rm0468,"FDCAN1_CREL: reset value: svd = 0x0, agent = 0x32141218",,
"stm32h723, stm32h725, stm32h733",stm32-rs,rm0468,"FDCAN1_ENDN: reset value: svd = 0x0, agent = 0x87654321",,
"stm32h723, stm32h725, stm32h733",stm32-rs,rm0468,"FDCAN1_NBTP: reset value: svd = 0x0, agent = 0x6000A03",,
"stm32h723, stm32h725, stm32h733",stm32-rs,rm0468,"FDCAN1_PSR: reset value: svd = 0x0, agent = 0x707",,
stm32h725,stm32-rs,rm0468,"FDCAN2_CCCR: reset value: svd = 0x0, agent = 0x1",,
stm32h725,stm32-rs,rm0468,"FDCAN2_CREL: reset value: svd = 0x0, agent = 0x32141218",,
stm32h725,stm32-rs,rm0468,"FDCAN2_ENDN: reset value: svd = 0x0, agent = 0x87654321",,
stm32h725,stm32-rs,rm0468,"FDCAN2_NBTP: reset value: svd = 0x0, agent = 0x6000A03",,
stm32h725,stm32-rs,rm0468,"FDCAN2_PSR: reset value: svd = 0x0, agent = 0x707",,
stm32h725,stm32-rs,rm0468,"FDCAN2_RXF1S_F1GI: bit width: svd = 7, agent = 6",,
stm32h725,stm32-rs,rm0468,"FDCAN2_RXF1S_F1PI: bit width: svd = 7, agent = 6",,
stm32h725,stm32-rs,rm0468,"FDCAN2_TOCV: reset value: svd = 0x0, agent = 0xFFFF",,
stm32h725,stm32-rs,rm0468,"FDCAN3_CCCR: reset value: svd = 0x0, agent = 0x1",,
stm32h725,stm32-rs,rm0468,"FDCAN3_CREL: reset value: svd = 0x0, agent = 0x32141218",,
stm32h725,stm32-rs,rm0468,"FDCAN3_ENDN: reset value: svd = 0x0, agent = 0x87654321",,
stm32h725,stm32-rs,rm0468,"FDCAN3_NBTP: reset value: svd = 0x0, agent = 0x6000A03",,
stm32h725,stm32-rs,rm0468,"FDCAN3_PSR: reset value: svd = 0x0, agent = 0x707",,
stm32h725,stm32-rs,rm0468,"FDCAN3_RXF1S_F1GI: bit width: svd = 7, agent = 6",,
stm32h725,stm32-rs,rm0468,"FDCAN3_RXF1S_F1PI: bit width: svd = 7, agent = 6",,
stm32h725,stm32-rs,rm0468,"FDCAN3_TOCV: reset value: svd = 0x0, agent = 0xFFFF",,
