SVD File,Crate,RM,Bug Description,PR,Status
"stm32c051, stm32c091, stm32c092",stm32-rs,rm0490,"CRC_POL: reset value: svd = 0x0, agent = 0x4C11DB7",,
"stm32c051, stm32c071, stm32c091, stm32c092",stm32-rs,rm0490,"EXTI_FPR2: address offset: svd = 0x38, agent = 0x30",,
"stm32c051, stm32c071, stm32c091, stm32c092",stm32-rs,rm0490,"EXTI_FTSR2: address offset: svd = 0x2C, agent = 0x24",,
"stm32c051, stm32c071, stm32c091, stm32c092",stm32-rs,rm0490,"EXTI_RPR2: address offset: svd = 0x34, agent = 0x2C",,
"stm32c051, stm32c071, stm32c091, stm32c092",stm32-rs,rm0490,"EXTI_RTSR2: address offset: svd = 0x28, agent = 0x20",,
"stm32c051, stm32c071, stm32c091, stm32c092",stm32-rs,rm0490,"EXTI_SWIER2: address offset: svd = 0x30, agent = 0x28",,
stm32c011,stm32-rs,rm0490,"FLASH_CR_PNB: bit width: svd = 4, agent = 7",,
"stm32c031, stm32c051, stm32c071, stm32c091, stm32c092",stm32-rs,rm0490,"FLASH_CR_PNB: bit width: svd = 6, agent = 7",,
stm32c011,stm32-rs,rm0490,"FLASH_PCROP1AER_PCROP1A_END: bit width: svd = 6, agent = 9",,
"stm32c031, stm32c071",stm32-rs,rm0490,"FLASH_PCROP1AER_PCROP1A_END: bit width: svd = 8, agent = 9",,
stm32c011,stm32-rs,rm0490,"FLASH_PCROP1ASR_PCROP1A_STRT: bit width: svd = 6, agent = 9",,
"stm32c031, stm32c071",stm32-rs,rm0490,"FLASH_PCROP1ASR_PCROP1A_STRT: bit width: svd = 8, agent = 9",,
stm32c011,stm32-rs,rm0490,"FLASH_PCROP1BER_PCROP1B_END: bit width: svd = 6, agent = 9",,
"stm32c031, stm32c071",stm32-rs,rm0490,"FLASH_PCROP1BER_PCROP1B_END: bit width: svd = 8, agent = 9",,
stm32c011,stm32-rs,rm0490,"FLASH_PCROP1BSR_PCROP1B_STRT: bit width: svd = 6, agent = 9",,
"stm32c031, stm32c071",stm32-rs,rm0490,"FLASH_PCROP1BSR_PCROP1B_STRT: bit width: svd = 8, agent = 9",,
stm32c011,stm32-rs,rm0490,"FLASH_SECR_SEC_SIZE: bit width: svd = 5, agent = 7",,
stm32c071,stm32-rs,rm0490,"FLASH_SECR_SEC_SIZE: bit width: svd = 6, agent = 7",,
"stm32c031, stm32c051, stm32c091, stm32c092",stm32-rs,rm0490,"FLASH_SECR_SEC_SIZE: bit width: svd = 8, agent = 7",,
stm32c011,stm32-rs,rm0490,"FLASH_WRP1AR_WRP1A_END: bit width: svd = 4, agent = 7",,
"stm32c031, stm32c071",stm32-rs,rm0490,"FLASH_WRP1AR_WRP1A_END: bit width: svd = 6, agent = 7",,
stm32c011,stm32-rs,rm0490,"FLASH_WRP1AR_WRP1A_STRT: bit width: svd = 4, agent = 7",,
"stm32c031, stm32c071",stm32-rs,rm0490,"FLASH_WRP1AR_WRP1A_STRT: bit width: svd = 6, agent = 7",,
stm32c011,stm32-rs,rm0490,"FLASH_WRP1BR_WRP1B_END: bit width: svd = 4, agent = 7",,
"stm32c031, stm32c071",stm32-rs,rm0490,"FLASH_WRP1BR_WRP1B_END: bit width: svd = 6, agent = 7",,
stm32c011,stm32-rs,rm0490,"FLASH_WRP1BR_WRP1B_STRT: bit width: svd = 4, agent = 7",,
"stm32c031, stm32c071",stm32-rs,rm0490,"FLASH_WRP1BR_WRP1B_STRT: bit width: svd = 6, agent = 7",,
"stm32c051, stm32c071, stm32c091, stm32c092",stm32-rs,rm0490,"GPIOA_OSPEEDR: reset value: svd = 0x0, agent = 0xC000000",,
"stm32c051, stm32c071, stm32c091, stm32c092",stm32-rs,rm0490,"GPIOA_PUPDR: reset value: svd = 0x0, agent = 0x24000000",,
"stm32c011, stm32c031",stm32-rs,rm0490,"GPIOB_MODER: reset value: svd = 0xEBFFFFFF, agent = 0xFFFFFFFF",,
"stm32c011, stm32c031",stm32-rs,rm0490,"GPIOB_OSPEEDR: reset value: svd = 0xC000000, agent = 0x0",,
"stm32c011, stm32c031",stm32-rs,rm0490,"GPIOB_PUPDR: reset value: svd = 0x24000000, agent = 0x0",,
"stm32c011, stm32c031",stm32-rs,rm0490,"GPIOC_MODER: reset value: svd = 0xEBFFFFFF, agent = 0xFFFFFFFF",,
"stm32c011, stm32c031",stm32-rs,rm0490,"GPIOC_OSPEEDR: reset value: svd = 0xC000000, agent = 0x0",,
"stm32c011, stm32c031",stm32-rs,rm0490,"GPIOC_PUPDR: reset value: svd = 0x24000000, agent = 0x0",,
"stm32c011, stm32c031",stm32-rs,rm0490,"GPIOD_MODER: reset value: svd = 0xEBFFFFFF, agent = 0xFFFFFFFF",,
"stm32c011, stm32c031",stm32-rs,rm0490,"GPIOD_OSPEEDR: reset value: svd = 0xC000000, agent = 0x0",,
"stm32c011, stm32c031",stm32-rs,rm0490,"GPIOD_PUPDR: reset value: svd = 0x24000000, agent = 0x0",,
"stm32c011, stm32c031",stm32-rs,rm0490,"GPIOF_MODER: reset value: svd = 0xEBFFFFFF, agent = 0xFFFFFFFF",,
"stm32c011, stm32c031",stm32-rs,rm0490,"GPIOF_OSPEEDR: reset value: svd = 0xC000000, agent = 0x0",,
"stm32c011, stm32c031",stm32-rs,rm0490,"GPIOF_PUPDR: reset value: svd = 0x24000000, agent = 0x0",,
"stm32c051, stm32c091, stm32c092",stm32-rs,rm0490,"IWDG_WINR: reset value: svd = 0x0, agent = 0xFFF",,
"stm32c011, stm32c031",stm32-rs,rm0490,"RCC_AHBSMENR: reset value: svd = 0x51303, agent = 0x1301",,
"stm32c051, stm32c071, stm32c091, stm32c092",stm32-rs,rm0490,"RCC_APBSMENR1: reset value: svd = 0x18636C03, agent = 0x186F7C03",,
"stm32c011, stm32c031",stm32-rs,rm0490,"RCC_APBSMENR1: reset value: svd = 0x18EF7F36, agent = 0x186F7C03",,
"stm32c051, stm32c071, stm32c091, stm32c092",stm32-rs,rm0490,"RCC_APBSMENR2: reset value: svd = 0x16D801, agent = 0x17D801",,
"stm32c011, stm32c031",stm32-rs,rm0490,"RCC_CR: reset value: svd = 0x500, agent = 0x1540",,
"stm32c011, stm32c031",stm32-rs,rm0490,"RCC_CSR1_LSEDRV: bit width: svd = 2, agent = 1",,
"stm32c011, stm32c031",stm32-rs,rm0490,"RCC_IOPSMENR: reset value: svd = 0x3F, agent = 0x2F",,
"stm32c011, stm32c031, stm32c071",stm32-rs,rm0490,"RTC_TSDR: reset value: svd = 0x2101, agent = 0x0",,
