SVD File,Crate,RM,Bug Description,PR,Status
stm32mp153,stm32-rs,rm0442,"FDCAN1_NBTP: reset value: svd = 0xA33, agent = 0x6000A03",,
stm32mp153,stm32-rs,rm0442,"FDCAN2_NBTP: reset value: svd = 0xA33, agent = 0x6000A03",,
stm32mp153,stm32-rs,rm0442,"GPIOB_IPIDR: reset value: svd = 0xF0002, agent = 0x0000 XXXX, RM = 0xF0003",,
stm32mp153,stm32-rs,rm0442,"GPIOC_IPIDR: reset value: svd = 0xF0002, agent = 0x0000 XXXX, RM = 0xF0003",,
stm32mp153,stm32-rs,rm0442,"GPIOD_IPIDR: reset value: svd = 0xF0002, agent = 0x0000 XXXX, RM = 0xF0003",,
stm32mp153,stm32-rs,rm0442,"GPIOF_IPIDR: reset value: svd = 0xF0002, agent = 0x0000 XXXX, RM = 0xF0003",,
stm32mp153,stm32-rs,rm0442,"GPIOH_IPIDR: address offset: svd = 0x3F8, agent = 0x10, RM = 0xF0003",,
stm32mp153,stm32-rs,rm0442,"GPIOH_IPIDR: reset value: svd = 0xF0002, agent = 0x0000 XXXX, RM = 0xF0003",,
stm32mp153,stm32-rs,rm0442,"GPIOI_IPIDR: reset value: svd = 0xF0002, agent = 0x0000XXXX, RM = 0xF0003",,
stm32mp153,stm32-rs,rm0442,"OTG_GINTSTS: reset value: svd = 0x14000020, agent = 0x4000020",,
stm32mp153,stm32-rs,rm0442,"OTG_HPTXFSIZ: reset value: svd = 0x2000400, agent = 0x4000800",,
stm32mp153,stm32-rs,rm0442,"RTC_TSDR: reset value: svd = 0x2101, agent = 0x0",,
stm32mp153,stm32-rs,rm0442,"STGENC_CIDR2: reset value: svd = 0x50, agent = 0x5",,
stm32mp153,stm32-rs,rm0442,"TIM3_DMAR_DMAB: bit width: svd = 32, agent = 16",,
stm32mp153,stm32-rs,rm0442,"TIM5_DMAR_DMAB: bit width: svd = 32, agent = 16",,
