SVD File,Crate,RM,Bug Description,PR,Status
"stm32h523, stm32h533, stm32h562, stm32h573",stm32-rs,rm0481,"ADCC_CCR: address offset: svd = 0x8, agent = 0x308",,
"stm32h523, stm32h533",stm32-rs,rm0481,"EXTI_EXTICR4: address offset: svd = 0x60, agent = 0x6C",,
"stm32h523, stm32h533",stm32-rs,rm0481,"GPIOA_OSPEEDR: reset value: svd = 0x0, agent = 0xC000000",,
stm32h562,stm32-rs,rm0481,"GPIOC_MODER: reset value: svd = 0xABFFFFFF, agent = 0xFFFFFFFF",,
"stm32h523, stm32h533",stm32-rs,rm0481,"GPIOC_MODER: reset value: svd = 0xFFFFFF, agent = 0xFFFFFFFF",,
stm32h562,stm32-rs,rm0481,"GPIOC_OSPEEDR: reset value: svd = 0xC000000, agent = 0x0",,
stm32h562,stm32-rs,rm0481,"GPIOD_MODER: reset value: svd = 0xABFFFFFF, agent = 0xFFFFFFFF",,
"stm32h523, stm32h533",stm32-rs,rm0481,"GPIOD_MODER: reset value: svd = 0xFFFFFF, agent = 0xFFFFFFFF",,
stm32h562,stm32-rs,rm0481,"GPIOD_OSPEEDR: reset value: svd = 0xC000000, agent = 0x0",,
stm32h562,stm32-rs,rm0481,"GPIOE_MODER: reset value: svd = 0xABFFFFFF, agent = 0xFFFFFFFF",,
"stm32h523, stm32h533",stm32-rs,rm0481,"GPIOE_MODER: reset value: svd = 0xFFFFFF, agent = 0xFFFFFFFF",,
stm32h562,stm32-rs,rm0481,"GPIOE_OSPEEDR: reset value: svd = 0xC000000, agent = 0x0",,
stm32h562,stm32-rs,rm0481,"GPIOF_MODER: reset value: svd = 0xABFFFFFF, agent = 0xFFFFFFFF",,
"stm32h523, stm32h533",stm32-rs,rm0481,"GPIOF_MODER: reset value: svd = 0xFFFFFF, agent = 0xFFFFFFFF",,
stm32h562,stm32-rs,rm0481,"GPIOF_OSPEEDR: reset value: svd = 0xC000000, agent = 0x0",,
stm32h562,stm32-rs,rm0481,"GPIOG_MODER: reset value: svd = 0xABFFFFFF, agent = 0xFFFFFFFF",,
"stm32h523, stm32h533",stm32-rs,rm0481,"GPIOG_MODER: reset value: svd = 0xFFFFFF, agent = 0xFFFFFFFF",,
stm32h562,stm32-rs,rm0481,"GPIOH_MODER: reset value: svd = 0xABFFFFFF, agent = 0xFFFFFFFF",,
"stm32h523, stm32h533",stm32-rs,rm0481,"GPIOH_MODER: reset value: svd = 0xFFFFFF, agent = 0xFFFFFFFF",,
stm32h562,stm32-rs,rm0481,"GPIOH_OSPEEDR: reset value: svd = 0xC000000, agent = 0x0",,
stm32h562,stm32-rs,rm0481,"GPIOI_OSPEEDR: reset value: svd = 0xC000000, agent = 0x0",,
"stm32h523, stm32h533, stm32h562",stm32-rs,rm0481,"RTC_TSDR: reset value: svd = 0x2101, agent = 0x0",,
"stm32h523, stm32h533",stm32-rs,rm0481,"USBSRAM_RXTXBD_0_ALTERNATE1: address offset: svd = 0x4, agent = 0x0",,
